,iA,jB,kS,type,node_color,node_size
0,0,1,0,S+,peachpuff,800
1,0,1,1,S-,lightblue,800
2,0,1,2,S-,lightblue,300
3,0,1,3,S0,lightgrey,300
4,0,1,4,S0,lightgrey,300
5,0,2,0,S+,peachpuff,800
6,0,2,1,S-,lightblue,300
7,0,2,2,S-,lightblue,800
8,0,2,3,S0,lightgrey,300
9,0,2,4,S0,lightgrey,300
10,0,3,0,S+,peachpuff,800
11,0,3,1,S-,lightblue,300
12,0,3,2,S-,lightblue,300
13,0,3,3,S-,lightblue,800
14,0,3,4,S0,lightgrey,300
15,0,4,0,S+,peachpuff,800
16,0,4,1,S0,lightgrey,300
17,0,4,2,S0,lightgrey,300
18,0,4,3,S0,lightgrey,300
19,0,4,4,S-,lightblue,800
20,1,2,0,S+,peachpuff,300
21,1,2,1,S+,peachpuff,800
22,1,2,2,S+,peachpuff,800
23,1,2,3,S0,lightgrey,300
24,1,2,4,S0,lightgrey,300
25,1,3,0,S+,peachpuff,300
26,1,3,1,S+,peachpuff,800
27,1,3,2,S+,peachpuff,300
28,1,3,3,S-,lightblue,800
29,1,3,4,S0,lightgrey,300
30,1,4,0,S+,peachpuff,300
31,1,4,1,S-,lightblue,800
32,1,4,2,S-,lightblue,300
33,1,4,3,S0,lightgrey,300
34,1,4,4,S-,lightblue,800
35,2,3,0,S+,peachpuff,300
36,2,3,1,S+,peachpuff,300
37,2,3,2,S+,peachpuff,800
38,2,3,3,S-,lightblue,800
39,2,3,4,S0,lightgrey,300
40,2,4,0,S+,peachpuff,300
41,2,4,1,S-,lightblue,300
42,2,4,2,S-,lightblue,800
43,2,4,3,S0,lightgrey,300
44,2,4,4,S-,lightblue,800
45,3,4,0,S+,peachpuff,300
46,3,4,1,S-,lightblue,300
47,3,4,2,S-,lightblue,300
48,3,4,3,S-,lightblue,800
49,3,4,4,S-,lightblue,800
